,podiumkunstengezelschap,production,production_wiki_id,productietitel,theaterseizoen,searchterm,wikidata_search,wikidata_id,kunstenpunt_id,cast_member,performer,contributor
0,Theater Bas,Theater Bas,Q54803422,Bub de badeend,1996-1997,Bub de badeend (1996-1997),Bub de badeend (1996-1997),,,,,
1,Theater Bas,Theater Bas,Q54803422,Blokjerond,1999-2000,Blokjerond (1999-2000),Blokjerond (1999-2000),,,,,
2,Theater Bas,Theater Bas,Q54803422,Blokjerond,1996-1997,Blokjerond (1996-1997),Blokjerond (1996-1997),Q57508590,430960.0,Lieve Raymaekers,,Paul Contryn
3,Theater Bas,Theater Bas,Q54803422,,,,,,,Ivo Vereecken,,
4,Theater Bas,Theater Bas,Q54803422,Opa Pettson en de kat Findus,1999-2000,Opa Pettson en de kat Findus (1999-2000),Opa Pettson en de kat Findus (1999-2000),,,,,
5,Theatre Infini,,,Alice,1987-1988,Alice (1987-1988),Alice (1987-1988),,,,,
6,The Simpletones,,,De Gentenaar,1984-1985,De Gentenaar (1984-1985),De Gentenaar (1984-1985),,,,,
7,La Dea,LaDea,Q54804986,Venus & Mars,1996-1997,Venus & Mars (1996-1997),Venus & Mars (1996-1997),,,,,
8,La Dea,Vooruit,Q907677,Jan zonder Vrees,1993-1994,Jan zonder Vrees (1993-1994),Jan Zonder Vrees (1993-1994),Q57504218,429773.0,Simonne Moesen,Kaat De Windt,Charo Calvo
9,La Dea,LaDea,Q54804986,,,,,,,Charo Calvo,,
10,La Dea,LaDea,Q54804986,,,,,,,Kaat De Windt,,
11,La Dea,LaDea,Q54804986,,,,,,,Mayté Yerro,,
12,Tirasila,Plateau,Q54804695,Ubu Koning,1997-1998,Ubu Koning (1997-1998),Ubu koning (1997-1998),Q57503157,431242.0,Kris Kaerts,Philip De Jager,
13,Tirasila,Tirasila,Q54804560,,,,,,,Pé Vermeersch,,
14,Tirasila,Tirasila,Q54804560,,,,,,,Vital Schraenen,,
15,Tirasila,Tirasila,Q54804560,,,,,,,Ben Weeber,,
16,Tirasila,Tirasila,Q54804560,Quad,1996-1997,Quad (1996-1997),Quad (1996-1997),,,,,
17,Tirasila,Tirasila,Q54804560,Het laatste verlangen,1999-2000,Het laatste verlangen (1999-2000),Het laatste verlangen (1999-2000),Q57506018,435216.0,Koen Van Roy,Koen Van Roy,Helga Van Campenhout
18,Tirasila,Tirasila,Q54804560,,,,,,,Chris Carlier,Philippe Thuriot,
19,Tirasila,Tirasila,Q54804560,,,,,,,Philippe Thuriot,Chris Carlier,
20,Tirasila,Tirasila,Q54804560,De drahenboom,2001-2002,De drahenboom (2001-2002),De drahenboom (2001-2002),,,,,
21,Tirasila,Wereldculturencentrum Zuiderpershuis,Q54804680,Escurial,1995-1996,Escurial (1995-1996),Escurial (1995-1996),Q57504052,430455.0,Patrice Debry,Philip De Jager,
22,Tirasila,Nadine,Q33100232,,,,,,,Kris Kaerts,,
23,Tirasila,Tirasila,Q54804560,,,,,,,Ellen Van Den Brande,,
24,Tirasila,Tirasila,Q54804560,,,,,,,Leen Antheunis,,
