path,organisatie,productie,seizoen,persoon,gezelschap_QID,productie_QID,kunstenpunt_ID
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Untitled-1(Danny Willems).jpg,,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Untitled-1(foto Lieve Van Keirsbulck en Hans Librecht).jpg,,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Untitled-8.jpg,,,,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/4Hoog productiehuis/1998-1999/Hondeweer/Untitled-1(foto Caroline Vincart).jpg,4Hoog productiehuis,Hondeweer,1998-1999,,Q2620512,Q57513180,434476
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/A. Sreyeac Cie/2000-2001/De Beeldenmaker/Untitled-1(foto onbekend).jpg,A. Sreyeac Cie,De Beeldenmaker,2000-2001,,Q54804943,Q57508417,435287
"/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/A. Sreyeac Cie/96-97/Lander, een verhaal/Untitled-1(foto onbekend).jpg",A. Sreyeac Cie,"Lander, een verhaal",1996-1997,,Q54804943,Q57509966,431726
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Abel & Gordon/86-87/La danse des boulots/Untitled-1(foto onbekend).jpg,Abel & Gordon,La danse des boulots,1986-1987,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Action  Malaise/2001-2002/Vive l'Afrique/Untitled-1(foto Byttebier).jpg,Action  Malaise,Vive l'Afrique,2001-2002,,Q54803486,Q57506822,436820
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Adante Theatre/87-88/Marthe et le mandarin/Untitled-1(foto Paulo C. Pires).jpg,Adante Theatre,Marthe et le mandarin,1987-1988,,,,
/Volumes/Backup Plus/KUNSTENPUNT FOTOCOLLECTIE/TEMP BACKUP ZUENA FOTO SCANS VTI 20191125/digitalisering/Adante Theatre/89-90/Binnocchio V/Untitled-1(foto onbekend).jpg,Adante Theatre,Binnocchio V,1989-1990,,,,
